word,weight,topic
világ,16.0,0
roll,15.0,0
rock,14.0,0
lány,14.0,0
remél,13.0,0
blokkol,12.0,0
három,12.0,0
oda,12.0,0
hol,12.0,0
dal,12.0,0
jön,49.0,1
kis,21.0,1
kérdez,20.0,1
mond,19.0,1
hisz,19.0,1
ugyanúgy,18.0,1
érez,16.0,1
helyzet,14.0,1
hét,14.0,1
föld,14.0,1
hagy,18.0,2
rohadt,17.0,2
gondol,14.0,2
csinál,14.0,2
yeah,13.0,2
pia,13.0,2
ért,12.0,2
buli,12.0,2
élő,11.0,2
talál,10.0,2
baj,48.0,3
tud,43.0,3
érdekel,41.0,3
tesz,31.0,3
vég,25.0,3
munka,23.0,3
baby,22.0,3
kedv,22.0,3
akar,21.0,3
föld,20.0,3
tud,28.0,4
hely,26.0,4
nincsen,26.0,4
pénz,23.0,4
rock,20.0,4
megy,17.0,4
csaj,12.0,4
kész,11.0,4
ördög,11.0,4
kettő,11.0,4
vár,57.0,5
lát,43.0,5
akar,42.0,5
hiába,39.0,5
szem,30.0,5
hát,29.0,5
érez,26.0,5
kéz,24.0,5
senki,23.0,5
ember,22.0,5
dolog,13.0,6
mer,13.0,6
jár,13.0,6
nap,13.0,6
szó,12.0,6
többi,12.0,6
láb,12.0,6
tényleg,12.0,6
tesz,12.0,6
inkább,11.0,6
élet,103.0,7
fél,103.0,7
vég,70.0,7
mond,69.0,7
tud,64.0,7
vár,57.0,7
szív,43.0,7
világ,39.0,7
néz,36.0,7
halál,29.0,7
jön,63.0,8
lát,53.0,8
áll,38.0,8
megy,26.0,8
bármi,25.0,8
mond,24.0,8
túl,19.0,8
reggel,19.0,8
állat,19.0,8
többé,19.0,8
lát,39.0,9
jár,27.0,9
soha,19.0,9
ágyék,18.0,9
izzó,17.0,9
vér,16.0,9
kéz,14.0,9
szív,14.0,9
mégis,14.0,9
kor,13.0,9
